Subject,Syllable,Type,Role,Sentence,Mean.f0,Duration,Intensity,C.Mean.f0,C.Duration,C.Intensity,Num.Syls,HasCoda,Position
5,ba,adjunct,nonsubj,Ziba bilen Qurban bardi,142.3273682,0.148062254,80.15745879,-0.714492388993005,-1.0668449572138672,0.5936111527396347,8,FALSE,initial
5,ba,adjunct,nonsubj,Ziba bilen Qurban mangidu,138.2102674,0.186091865,79.69196604,-1.2163122349705364,-0.42952894277460624,0.4477393201943103,9,FALSE,initial
5,ba,adjunct,nonsubj,Ziba bilen Qurban yighlaptu,142.014666,0.167076779,78.69217033,-0.7526066294412422,-0.7481916507297253,0.13443254497890522,9,FALSE,initial
5,ba,adjunct,nonsubj,Ziba bilen Qurban yüridu,142.2221401,0.146858156,80.1591266,-0.7273182952556135,-1.0870237315472226,0.5941337956831294,8,FALSE,initial
5,ba,relative,nonsubj,Ziba bilidighan Qurban ketti,156.515816,0.149210808,79.54101789,1.0148907462599002,-1.0475970122993565,0.40043657861600496,10,FALSE,initial
5,ba,simple,subj,Ziba mangidu,137.8445652,0.186775778,80.19543179,-1.2608864707234329,-0.4180676446986621,0.6055107818901265,5,FALSE,initial
5,ba,simple,subj,Ziba yighlaptu,156.7523908,0.22402174,80.88921967,1.0437260688485928,0.20611565435733306,0.8229236405293509,5,FALSE,initial
5,ba,simple,subj,Ziba yüridu,148.8521736,0.151958428,80.25520919,0.08079463455068844,-1.0015512552813945,0.6242432731755331,4,FALSE,initial
6,ban,simple,subj,Qurban bardi,259.6795736,0.302074318,80.68772595,0.3464878045452802,0.0059880137817613635,0.9975052318281005,4,TRUE,initial
6,ban,adjunct,nonsubj,Qurban bilen Ziba bardi,280.1318907,0.261284311,81.28026118,1.4583465129132638,-0.7190918383653465,1.2168843431379024,8,TRUE,initial
6,ban,adjunct,nonsubj,Qurban bilen Ziba mangidu,280.7506202,0.282447244,81.50906999,1.491982788907596,-0.3429012598582347,1.3015980797332007,9,TRUE,initial
6,ban,adjunct,nonsubj,Qurban bilen Ziba yighlaptu,290.7851589,0.315169124,79.94619419,2.037495025173997,0.23876022189575036,0.7229619299609784,9,TRUE,initial
6,ban,adjunct,nonsubj,Qurban bilen Ziba yüridu,271.3875452,0.316489239,81.67659917,0.9829736421712285,0.2622264789379996,1.3636237632134227,8,TRUE,initial
6,ban,relative,nonsubj,Qurban bilidighan Ziba ketti,288.5672749,0.290746782,80.59579274,1.9169231785957894,-0.19536934632045821,0.963468055828187,10,TRUE,initial
6,ban,simple,subj,Qurban mangidu,257.5165496,0.293519472,80.0656767,0.22889833734457063,-0.14608223403215242,0.7671989061503336,5,TRUE,initial
6,ban,simple,nonsubj,Qurban yighlaptu,269.0989692,0.245234897,80.43502361,0.8585587339278028,-1.0043849183632907,0.9039452003425337,5,TRUE,initial
6,ban,simple,subj,Qurban yüridu,272.6908478,0.307226081,78.2498803,1.053825680029014,0.09756533452938766,0.09492191672720764,4,TRUE,initial
6,ba,simple,subj,Ziba bardi,229.4609491,0.34469398,77.42666678,-1.2963011587271114,0.7635916646347681,-0.20986308388079702,4,FALSE,initial
6,ba,adjunct,nonsubj,Ziba bilen Qurban bardi,237.170737,0.239765845,78.45605471,-0.8771704179718188,-1.1016023426099903,0.17125553631742785,8,FALSE,initial
6,ba,adjunct,nonsubj,Ziba bilen Qurban mangidu,242.4029464,0.226327754,74.92564002,-0.5927294151773326,-1.34047675700809,-1.135838452418525,9,FALSE,initial
6,ba,adjunct,nonsubj,Ziba bilen Qurban yighlaptu,240.5202352,0.269597799,77.61156868,-0.6950801088824446,-0.5713119507603559,-0.1414053577444218,9,FALSE,initial
6,ba,adjunct,nonsubj,Ziba bilen Qurban yüridu,236.0229738,0.253264536,78.27937365,-0.9395667959873114,-0.8616507075328138,0.10584147827386543,8,FALSE,initial
6,ba,relative,nonsubj,Ziba bilidighan Qurban ketti,260.2902194,0.276262444,79.58937785,0.37968462264362274,-0.45284176243180435,0.5908549300615539,10,FALSE,initial
6,ba,simple,subj,Ziba mangidu,253.7068195,0.258951869,76.90909951,0.0217882300884757,-0.7605531379552607,-0.4014862009326578,5,FALSE,initial
6,ba,simple,subj,Ziba yighlaptu,248.7481583,0.276619936,77.86825207,-0.2477817462672322,-0.4464870136693493,-0.046371389914043284,5,FALSE,initial
6,ba,simple,subj,Ziba yüridu,228.1979279,0.254070899,79.07330584,-1.3649633603352305,-0.8473168643241837,0.3997854152148764,4,FALSE,initial
